,0
0,0.035714287
1,0.071428575
2,0.21428572
3,0.42857143
4,0.0
5,0.10714286
6,0.035714287
7,0.5714286
8,0.035714287
9,0.071428575
10,0.0
11,0.071428575
12,0.21428572
13,0.035714287
14,0.0
15,0.17857143
16,0.035714287
17,0.0
18,0.035714287
19,0.14285715
20,0.25
21,0.35714287
22,0.0
23,0.10714286
24,0.0
25,0.14285715
26,0.0
27,0.14285715
28,0.0
29,0.035714287
30,0.035714287
31,0.071428575
32,0.0
33,0.2857143
34,0.0
35,0.035714287
36,0.0
37,0.035714287
38,0.25
39,0.60714287
40,0.035714287
41,0.32142857
42,0.035714287
43,0.75
44,0.035714287
45,0.035714287
46,0.17857143
47,0.035714287
48,0.14285715
49,0.0
50,0.2857143
51,0.14285715
52,0.10714286
53,0.071428575
54,0.10714286
55,0.071428575
56,0.39285713
57,0.32142857
58,0.0
59,0.21428572
60,0.0
61,0.14285715
62,0.071428575
63,0.17857143
64,0.071428575
65,0.071428575
66,0.035714287
67,0.0
68,0.14285715
69,0.035714287
70,0.0
71,0.0
72,0.035714287
73,0.035714287
74,0.32142857
75,0.5
76,0.035714287
77,0.10714286
78,0.0
79,0.42857143
80,0.0
81,0.14285715
82,0.0
83,0.071428575
84,0.10714286
85,0.035714287
86,0.10714286
87,0.21428572
88,0.14285715
89,0.071428575
90,0.17857143
91,0.071428575
92,0.071428575
93,0.25
94,0.0
95,0.0
96,0.0
97,0.25
98,0.035714287
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.071428575
106,0.0
107,0.0
108,0.071428575
109,0.035714287
110,0.17857143
111,0.071428575
112,0.0
113,0.035714287
114,0.0
115,0.25
116,0.0
117,0.0
118,0.0
119,0.035714287
120,0.10714286
121,0.0
122,0.0
123,0.071428575
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.035714287
145,0.17857143
146,0.071428575
147,0.36003396
148,0.035714287
149,0.25
150,0.10714286
151,0.071428575
152,0.0
153,0.42857143
154,0.0
155,0.0
156,1.5357143
157,0.0
158,0.012077457
159,0.71428573
160,0.071428575
161,0.0
162,0.035714287
163,0.071428575
164,0.0
165,0.071428575
166,0.035714287
167,0.035714287
168,0.035714287
169,0.0
170,0.0
171,0.035714287
172,0.035714287
173,0.0
174,0.17857143
175,0.14285715
176,0.0
177,0.071428575
178,0.0
179,0.071428575
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.071428575
199,0.10714286
200,3.2142856
201,4.464286
202,0.25
203,2.0357144
204,0.071428575
205,3.6785715
206,0.035714287
207,0.39285713
208,0.32142857
209,0.4642857
210,2.4285715
211,0.32142857
212,0.32142857
213,2.0
214,0.5
215,0.071428575
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,1.3571428
235,0.89285713
236,1.5714285
237,2.0357144
238,0.71428573
239,2.5357144
240,0.96428573
241,0.9285714
242,0.035714287
243,0.2857143
244,0.14285715
245,0.4642857
246,1.9642857
247,1.8571428
248,0.9285714
249,2.1785715
250,0.53571427
251,0.32142857
252,0.035714287
253,0.10714286
254,0.071428575
255,0.2857143
256,0.0
257,0.035714287
258,0.0
259,0.071428575
260,0.0
261,0.0
262,0.0
263,0.0
264,0.071428575
265,0.0
266,0.0
267,0.035714287
268,0.10714286
269,0.14285715
270,0.071428575
271,0.071428575
272,0.0
273,0.17857143
274,0.071428575
275,0.17857143
276,0.071428575
277,0.071428575
278,0.0
279,0.0
280,0.0
281,0.035714287
282,0.14285715
283,0.071428575
284,0.14285715
285,0.17857143
286,0.035714287
287,0.035714287
288,0.2857143
289,0.071428575
290,0.0
291,0.21428572
292,0.071428575
293,0.32142857
294,0.071428575
295,0.0
296,0.21428572
297,0.0
298,0.0
299,0.035714287
300,0.071428575
301,0.32142857
302,0.071428575
303,0.071428575
304,0.035714287
305,0.071428575
306,0.10714286
307,0.035714287
308,0.53571427
309,0.25
310,0.035714287
311,0.2857143
312,0.10714286
313,0.4642857
314,0.0
315,0.0
316,0.0
317,0.10714286
318,0.25
319,0.64285713
320,0.071428575
321,0.39285713
322,0.0
323,0.071428575
324,0.36273405
325,0.071428575
326,0.2857143
327,0.14285715
328,0.0
329,0.14285715
330,0.035714287
331,0.21428572
332,0.035714287
333,0.035714287
334,0.0
335,0.10714286
336,0.25
337,0.42857143
338,0.0
339,0.21428572
340,0.035714287
341,0.10714286
342,0.21428572
343,0.071428575
344,0.32142857
345,0.21428572
346,0.035714287
347,0.17857143
348,0.17857143
349,0.5714286
350,0.14285715
351,0.10714286
352,0.035714287
353,0.071428575
354,0.25
355,0.78571427
356,0.035714287
357,0.42857143
358,0.0
359,0.17857143
360,0.14285715
361,0.0
362,0.0
363,0.071428575
364,0.035714287
365,0.25
366,0.0
367,0.17857143
368,0.071428575
369,0.071428575
370,0.0
371,0.0
372,0.25
373,0.21428572
374,0.0
375,0.17857143
376,0.0
377,0.10714286
378,1.1785715
379,0.2857143
380,1.75
381,1.392163
382,0.71428573
383,6.642857
384,0.32142857
385,0.4642857
386,0.5215338
387,0.35714287
388,0.2857143
389,0.39285713
390,2.642857
391,3.25
392,0.071428575
393,2.892857
394,0.17857143
395,0.96428573
396,0.071428575
397,0.035714287
398,0.071428575
399,0.14285715
400,0.0
401,0.14285715
402,0.071428575
403,0.17857143
404,0.035714287
405,0.035714287
406,0.0
407,0.0
408,0.25
409,0.53571427
410,0.0
411,0.071428575
412,0.0
413,0.10714286
414,0.25
415,0.10714286
416,0.10714286
417,0.32142857
418,0.071428575
419,1.7857143
420,0.10714286
421,0.14285715
422,0.25
423,0.14285715
424,0.0
425,0.10714286
426,0.35714287
427,0.8214286
428,0.0
429,0.89285713
430,0.0
431,0.21428572
432,0.035714287
433,0.0
434,0.39285713
435,0.21428572
436,0.071428575
437,0.2575227
438,0.035714287
439,0.42857143
440,0.035714287
441,0.035714287
442,0.0
443,0.071428575
444,0.17857143
445,0.35714287
446,0.0
447,0.10714286
448,0.0
449,0.14285715
450,0.071428575
451,0.0
452,0.071428575
453,0.14285715
454,0.17857143
455,0.0
456,0.0
457,0.14285715
458,0.0
459,0.071428575
460,0.0
461,0.17857143
462,0.035714287
463,0.035714287
464,0.14285715
465,0.10714286
466,0.10714286
467,0.0
468,0.21428572
469,0.17857143
470,0.071428575
471,0.14285715
472,0.10714286
473,0.0
474,0.071428575
475,0.21428572
476,0.035714287
477,0.0
478,0.0
479,0.0
480,0.035714287
481,0.071428575
482,0.17857143
483,0.10714286
484,0.035714287
485,0.0
486,0.0
487,0.0
488,0.071428575
489,0.071428575
490,0.0
491,0.0
492,0.035714287
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.035714287
505,0.035714287
506,0.17857143
507,0.10714286
508,0.0
509,0.17857143
510,0.0
511,0.071428575
512,0.0
513,0.10714286
514,0.0
515,0.0
516,0.25
517,0.0
518,0.035714287
519,0.14285715
520,0.035714287
521,0.035714287
522,0.035714287
523,0.0
524,0.10714286
525,0.10714286
526,0.10714286
527,0.071428575
528,0.0
529,0.071428575
530,0.0
531,0.071428575
532,0.071428575
533,0.035714287
534,1.0357143
535,0.0
536,0.035714287
537,0.14285715
538,0.035714287
539,0.0
540,0.035714287
541,0.035714287
542,1.2142857
543,1.4642857
544,0.035714287
545,1.2142857
546,0.14285715
547,1.1428572
548,0.071428575
549,0.5
550,0.14285715
551,0.32142857
552,1.4642857
553,0.21428572
554,0.071428575
555,0.5714286
556,0.2857143
557,0.0
558,0.14285715
559,0.035714287
560,0.10714286
561,0.21428572
562,0.17857143
563,0.2857143
564,0.035714287
565,0.17857143
566,0.035714287
567,0.21428572
568,0.0
569,0.071428575
570,0.64285713
571,0.10714286
572,0.035714287
573,0.39285713
574,0.14285715
575,0.0
576,0.17857143
577,0.035714287
578,0.5
579,0.9285714
580,0.035714287
581,0.53571427
582,0.10714286
583,0.6785714
584,0.035714287
585,0.035714287
586,0.0
587,0.10714286
588,0.5
589,0.17857143
590,0.035714287
591,0.4642857
592,0.25
593,0.071428575
594,0.35714287
595,0.35714287
596,0.4642857
597,1.1785715
598,0.10714286
599,0.71428573
600,0.32142857
601,0.35714287
602,0.071428575
603,0.25
604,0.035714287
605,0.035714287
606,1.4285715
607,0.2857143
608,0.035714287
609,1.1428572
610,0.035714287
611,0.10714286
612,2.5714285
613,0.60714287
614,0.32142857
615,0.25
616,0.17857143
617,0.64285713
618,0.6785714
619,0.14285715
620,0.4642857
621,0.53571427
622,0.0
623,0.10714286
624,1.75
625,0.78571427
626,0.071428575
627,1.8928572
628,0.071428575
629,0.17857143
630,0.035714287
631,0.035714287
632,0.17857143
633,0.14285715
634,0.0
635,0.035714287
636,0.035714287
637,0.17857143
638,0.0
639,0.2857143
640,0.0
641,0.0
642,0.4642857
643,0.0
644,0.0
645,0.25
646,0.21428572
647,0.0
648,0.35714287
649,0.32142857
650,0.6785714
651,1.5
652,0.25
653,0.4642857
654,0.10714286
655,1.0714285
656,0.21428572
657,0.21428572
658,0.71428573
659,0.14285715
660,0.32142857
661,0.5714286
662,2.9642856
663,0.5
664,0.78571427
665,1.7857143
666,0.0
667,0.0
668,0.0
669,0.35714287
670,0.035714287
671,0.035714287
672,0.071428575
673,0.035714287
674,0.0
675,0.035714287
676,0.0
677,0.0
678,0.10714286
679,0.0
680,0.0
681,0.17857143
682,0.0
683,0.0
684,0.071428575
685,0.071428575
686,0.10714286
687,0.035714287
688,0.035714287
689,0.10714286
690,0.0
691,0.071428575
692,0.0
693,0.14285715
694,0.0
695,0.035714287
696,0.5
697,0.0
698,0.0
699,0.25
700,0.071428575
701,0.0
702,0.035714287
703,0.035714287
704,0.42857143
705,0.5714286
706,0.32142857
707,1.6428572
708,0.035714287
709,0.21428572
710,0.10714286
711,0.2857143
712,0.035714287
713,0.035714287
714,1.6428572
715,0.14285715
716,0.0
717,1.4642857
718,0.21428572
719,0.10714286
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.035714287
